groupi	groupj	w
1	1.029.O.	4
1	1.031.O.	1
1	1.054.O.	19
1	1.123.O.	4
1	1.144.O.	31
1	1.151.O.	2
1	1.182.O.	5
1	1.205.O.	6
1	1.232.O.	3
1	1.262.O.	1
1	1.275.O.	12
1	1.276.O.	22
1	10	7
1	11	3
1	12	2
1	13	5
1	14	1
1	15	18
1	16	1
1	17	7
1	18	6
1	19	30
1	2	1
1	21	6
1	22	2
1	23	6
1	24	4
1	25	1
1	26	50
1	27	54
1	28	1
1	29	3
1	3	32
1	30	5
1	32	1
1	33	38
1	34	7
1	35	1
1	38	3
1	39	1
1	4	23
1	41	1
1	6	11
1	7	18
1	8	2
1	9	74
1.009.O.	1.029.O.	2
1.009.O.	1.054.O.	2
1.009.O.	1.123.O.	1
1.009.O.	1.205.O.	1
1.009.O.	1.232.O.	1
1.009.O.	10	20
1.009.O.	12	1
1.009.O.	13	5
1.009.O.	16	3
1.009.O.	17	2
1.009.O.	18	1
1.009.O.	2	3
1.009.O.	20	2
1.009.O.	21	1
1.009.O.	23	4
1.009.O.	24	2
1.009.O.	25	2
1.009.O.	27	1
1.009.O.	28	1
1.009.O.	3	19
1.009.O.	30	1
1.009.O.	32	1
1.009.O.	38	1
1.009.O.	4	4
1.009.O.	6	5
1.009.O.	7	2
1.009.O.	9	2
1.029.O.	1	4
1.029.O.	1.009.O.	2
1.029.O.	1.054.O.	29
1.029.O.	1.123.O.	6
1.029.O.	1.144.O.	4
1.029.O.	1.151.O.	2
1.029.O.	1.182.O.	4
1.029.O.	1.205.O.	1
1.029.O.	1.232.O.	5
1.029.O.	1.275.O.	3
1.029.O.	1.276.O.	3
1.029.O.	10	1
1.029.O.	11	1
1.029.O.	12	2
1.029.O.	13	3
1.029.O.	15	7
1.029.O.	17	7
1.029.O.	18	3
1.029.O.	19	12
1.029.O.	2	1
1.029.O.	21	8
1.029.O.	23	4
1.029.O.	26	7
1.029.O.	27	8
1.029.O.	29	1
1.029.O.	3	13
1.029.O.	30	7
1.029.O.	31	1
1.029.O.	32	2
1.029.O.	33	3
1.029.O.	34	5
1.029.O.	35	1
1.029.O.	38	1
1.029.O.	39	1
1.029.O.	4	22
1.029.O.	41	1
1.029.O.	6	6
1.029.O.	7	8
1.029.O.	8	1
1.029.O.	9	35
1.031.O.	1	1
1.031.O.	1.151.O.	1
1.031.O.	1.232.O.	1
1.031.O.	1.275.O.	1
1.031.O.	1.276.O.	1
1.031.O.	10	1
1.031.O.	11	1
1.031.O.	12	1
1.031.O.	13	1
1.031.O.	15	2
1.031.O.	18	3
1.031.O.	19	1
1.031.O.	22	5
1.031.O.	23	2
1.031.O.	27	1
1.031.O.	3	3
1.031.O.	30	2
1.031.O.	32	1
1.031.O.	35	1
1.031.O.	36	1
1.031.O.	39	9
1.031.O.	4	2
1.031.O.	41	2
1.031.O.	6	2
1.031.O.	7	1
1.054.O.	1	19
1.054.O.	1.009.O.	2
1.054.O.	1.029.O.	29
1.054.O.	1.123.O.	8
1.054.O.	1.144.O.	6
1.054.O.	1.151.O.	3
1.054.O.	1.182.O.	2
1.054.O.	1.205.O.	3
1.054.O.	1.232.O.	2
1.054.O.	1.275.O.	2
1.054.O.	1.276.O.	3
1.054.O.	10	4
1.054.O.	13	1
1.054.O.	15	7
1.054.O.	17	4
1.054.O.	18	3
1.054.O.	19	13
1.054.O.	21	6
1.054.O.	23	3
1.054.O.	24	2
1.054.O.	25	1
1.054.O.	26	9
1.054.O.	27	12
1.054.O.	28	2
1.054.O.	3	12
1.054.O.	30	3
1.054.O.	33	8
1.054.O.	34	2
1.054.O.	35	1
1.054.O.	4	18
1.054.O.	6	3
1.054.O.	7	14
1.054.O.	9	44
